rank	name	kp_rating	imdb_rating	year	url	_utc_timestamp
60	Крестный отец 2	8.541	9.0	1974	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/327/	2019-12-17 18:48:56
61	Собачье сердце  (ТВ)	8.343	8.7	1988	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/77335/	2019-12-17 18:48:56
62	Нокдаун	8.203	8.0	2005	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/12244/	2019-12-17 18:48:56
63	Игра	8.253	7.8	1997	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/12198/	2019-12-17 18:48:56
64	Храброе сердце	8.281	8.3	1995	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/399/	2019-12-17 18:48:56
65	Шерлок Холмс и доктор Ватсон: Знакомство  (ТВ)	8.556	8.6	1980	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/77269/	2019-12-17 18:48:56
66	Москва слезам не верит	8.372	8.1	1979	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/46708/	2019-12-17 18:48:56
67	Гран Торино	8.131	8.1	2008	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/408410/	2019-12-17 18:48:56
68	Одержимость	8.328	8.5	2013	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/725190/	2019-12-17 18:48:56
69	Прислуга	8.164	8.1	2011	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/470553/	2019-12-17 18:48:56
70	Человек дождя	8.247	8.0	1988	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/519/	2019-12-17 18:48:56
71	Зверополис	8.296	8.0	2016	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/775276/	2019-12-17 18:48:56
72	Изгой	8.252	7.8	2000	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/627/	2019-12-17 18:48:56
73	Шестое чувство	8.173	8.1	1999	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/395/	2019-12-17 18:48:56
74	Летят журавли	8.291	8.3	1957	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/7724/	2019-12-17 18:48:56
75	Офицеры	8.453	7.7	1971	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/42736/	2019-12-17 18:48:56
76	Малыш	8.244	8.3	1921	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/2127/	2019-12-17 18:48:56
77	Спасти рядового Райана	8.178	8.6	1998	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/371/	2019-12-17 18:48:56
78	В погоне за счастьем	8.249	8.0	2006	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/104938/	2019-12-17 18:48:56
79	Белый Бим Черное ухо	8.371	8.3	1976	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/46068/	2019-12-17 18:48:56
80	Эффект бабочки	8.168	7.6	2003	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/5167/	2019-12-17 18:48:56
81	Судьба человека	8.367	8.0	1959	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/44027/	2019-12-17 18:48:56
82	Назад в будущее 2	8.288	7.8	1989	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/5502/	2019-12-17 18:48:56
83	Красавица и чудовище	8.27	8.0	1991	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/540/	2019-12-17 18:48:56
84	Дневник памяти	8.257	7.8	2004	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/3561/	2019-12-17 18:48:56
85	Укрощение строптивого	8.385	7.7	1980	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/63912/	2019-12-17 18:48:56
86	Однажды в Америке	8.274	8.4	1983	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/469/	2019-12-17 18:48:56
87	Римские каникулы	8.275	8.0	1953	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/497/	2019-12-17 18:48:56
88	Балто	8.329	7.1	1995	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/7097/	2019-12-17 18:48:56
89	Унесенные ветром	8.383	8.1	1939	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/456/	2019-12-17 18:48:56
90	Служебный роман	8.289	8.3	1977	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/43869/	2019-12-17 18:48:56
91	Темный рыцарь: Возрождение легенды	8.138	8.4	2012	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/437410/	2019-12-17 18:48:56
92	Джокер	8.168	8.7	2019	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/1048334/	2019-12-17 18:48:56
93	Жизнь других	8.067	8.4	2006	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/126196/	2019-12-17 18:48:56
94	Счастливое число Слевина	8.112	7.7	2005	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/86326/	2019-12-17 18:48:56
95	Амадей	8.154	8.3	1984	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/397/	2019-12-17 18:48:56
96	Адвокат дьявола	8.164	7.5	1997	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/3797/	2019-12-17 18:48:56
97	…А в душе я танцую	8.111	7.8	2004	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/84014/	2019-12-17 18:48:56
98	Шерлок Холмс и доктор Ватсон: Смертельная схватка  (ТВ)	8.427	8.6	1980	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/354799/	2019-12-17 18:48:56
99	Они сражались за Родину	8.377	8.0	1975	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/42770/	2019-12-17 18:48:56
100	Ходячий замок	8.279	8.2	2004	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/49684/	2019-12-17 18:48:56
101	Гонка	8.08	8.1	2013	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/596125/	2019-12-17 18:48:56
102	Зеленая книга	8.323	8.2	2018	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/1108577/	2019-12-17 18:48:56
103	Брат	8.228	8.0	1997	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/41519/	2019-12-17 18:48:56
104	Баллада о солдате	8.249	8.2	1959	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/46019/	2019-12-17 18:48:56
105	Хоббит: Нежданное путешествие	8.061	7.8	2012	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/278522/	2019-12-17 18:48:56
106	Малышка на миллион	8.074	8.1	2004	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/81297/	2019-12-17 18:48:56
107	Свидетель обвинения	8.158	8.4	1957	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/489/	2019-12-17 18:48:56
108	Девчата	8.355	8.0	1962	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/44168/	2019-12-17 18:48:56
109	Шерлок Холмс и доктор Ватсон: Кровавая надпись  (ТВ)	8.414	8.5	1979	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/77265/	2019-12-17 18:48:56
110	Мальчик в полосатой пижаме	8.173	7.8	2008	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/281251/	2019-12-17 18:48:56
111	Общество мертвых поэтов	8.213	8.1	1989	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/4996/	2019-12-17 18:48:56
112	Одиннадцать друзей Оушена	8.095	7.8	2001	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/770/	2019-12-17 18:48:56
113	Пятый элемент	8.076	7.7	1997	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/2656/	2019-12-17 18:48:56
114	Казино	8.125	8.2	1995	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/2494/	2019-12-17 18:48:56
115	Один дома	8.232	7.6	1990	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/8124/	2019-12-17 18:48:56
116	День сурка	8.104	8.0	1993	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/527/	2019-12-17 18:48:56
117	Артист	7.941	7.9	2011	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/539550/	2019-12-17 18:48:56
118	Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра  (ТВ)	8.382	8.5	1980	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/368937/	2019-12-17 18:48:56
119	Добро пожаловать, или Посторонним вход воспрещен	8.264	8.1	1964	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/44238/	2019-12-17 18:48:56
120	Аладдин	8.129	8.0	1992	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/2361/	2019-12-17 18:48:56
121	Могила светлячков	8.178	8.5	1988	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/8219/	2019-12-17 18:48:56
122	Невидимая сторона	8.15	7.6	2009	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/450213/	2019-12-17 18:48:56
123	Новые времена	8.102	8.5	1936	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/408/	2019-12-17 18:48:56
124	Город Бога	8.017	8.6	2002	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/439/	2019-12-17 18:48:56
125	Как украсть миллион	8.207	7.6	1966	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/10156/	2019-12-17 18:48:56
126	Любовь и голуби	8.264	8.1	1984	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/45146/	2019-12-17 18:48:56
127	Ford против Ferrari	8.167	8.3	2019	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/835086/	2019-12-17 18:48:56
128	Легенда о пианисте	8.139	8.1	1998	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/8335/	2019-12-17 18:48:56
129	Меня зовут Кхан	8.096	8.0	2010	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/406340/	2019-12-17 18:48:56
130	Семь жизней	8.178	7.6	2008	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/395787/	2019-12-17 18:48:56
131	Шерлок Холмс и доктор Ватсон: Король шантажа  (ТВ)	8.357	8.5	1980	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/368936/	2019-12-17 18:48:56
132	Афера	8.14	8.3	1973	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/383/	2019-12-17 18:48:56
133	Привидение	8.165	7.0	1990	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/1991/	2019-12-17 18:48:56
134	Танцующий с волками	8.11	8.0	1990	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/2037/	2019-12-17 18:48:56
135	12 стульев	8.245	8.3	1971	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/46789/	2019-12-17 18:48:56
136	Рэй	8.051	7.7	2004	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/5319/	2019-12-17 18:48:56
137	Жизнь Дэвида Гейла	8.058	7.6	2002	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/738/	2019-12-17 18:48:56
138	Самый быстрый Indian	8.029	7.8	2005	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/81512/	2019-12-17 18:48:56
139	Шерлок Холмс и доктор Ватсон: Сокровища Агры  (ТВ)	8.35	8.4	1983	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/77264/	2019-12-17 18:48:56
140	Терминал	8.069	7.3	2004	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/6877/	2019-12-17 18:48:56
141	Умница Уилл Хантинг	8.074	8.3	1997	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/539/	2019-12-17 18:48:56
142	Назад в будущее 3	8.167	7.4	1990	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/7103/	2019-12-17 18:48:56
143	Славные парни	8.117	8.7	1990	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/350/	2019-12-17 18:48:56
144	Пираты Карибского моря: Сундук мертвеца	8.09	7.3	2006	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/63991/	2019-12-17 18:48:56
145	Лицо со шрамом	8.183	8.3	1983	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/4695/	2019-12-17 18:48:56
146	На несколько долларов больше	8.167	8.3	1965	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/8190/	2019-12-17 18:48:56
147	Ледниковый период	8.016	7.5	2002	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/707/	2019-12-17 18:48:56
148	Король говорит!	7.977	8.0	2010	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/485311/	2019-12-17 18:48:56
149	Головоломка	8.007	8.2	2015	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/645118/	2019-12-17 18:48:56
150	Блеф	8.233	7.5	1976	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/10179/	2019-12-17 18:48:56
151	Ромео и Джульетта	8.212	7.6	1968	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/15204/	2019-12-17 18:48:56
152	Перед классом  (ТВ)	8.074	8.1	2008	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/428457/	2019-12-17 18:48:56
153	Золотой теленок	8.192	8.4	1968	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/45389/	2019-12-17 18:48:56
154	Планета Ка-Пэкс	8.015	7.4	2001	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/723/	2019-12-17 18:48:56
155	Шерлок Холмс	8.071	7.6	2009	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/420923/	2019-12-17 18:48:56
156	Амели	7.997	8.3	2001	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/341/	2019-12-17 18:48:56
157	Семь самураев	8.153	8.6	1954	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/332/	2019-12-17 18:48:56
158	В случае убийства набирайте «М»	8.113	8.2	1954	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/9028/	2019-12-17 18:48:56
159	Нюрнбергский процесс	8.12	8.2	1961	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/13738/	2019-12-17 18:48:56
160	Бешеные псы	8.116	8.3	1991	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/394/	2019-12-17 18:48:56
161	Заплати другому	8.075	7.2	2000	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/782/	2019-12-17 18:48:56
162	Вечное сияние чистого разума	8.024	8.3	2004	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/5492/	2019-12-17 18:48:56
163	Корпорация монстров	8.073	8.0	2001	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/458/	2019-12-17 18:48:56
164	Вам и не снилось...	8.189	7.9	1980	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/45660/	2019-12-17 18:48:56
165	Ганди	8.065	8.0	1982	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/513/	2019-12-17 18:48:56
166	Воин	8.029	8.2	2011	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/442568/	2019-12-17 18:48:56
167	Три билборда на границе Эббинга, Миссури	8.166	8.2	2017	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/944098/	2019-12-17 18:48:56
168	Апокалипсис сегодня	8.146	8.4	1979	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/354/	2019-12-17 18:48:56
169	Тот самый Мюнхгаузен  (ТВ)	8.276	8.5	1979	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/77283/	2019-12-17 18:48:56
170	Отец солдата	8.24	8.7	1964	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/44218/	2019-12-17 18:48:56
171	Андрей Рублев	8.169	8.2	1966	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/8385/	2019-12-17 18:48:56
172	Белый плен	8.122	7.3	2005	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/79204/	2019-12-17 18:48:56
173	Звёздные войны: Эпизод 3 – Месть Ситхов	8.051	7.5	2005	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/5619/	2019-12-17 18:48:56
174	Тренер Картер	8.041	7.3	2005	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/77531/	2019-12-17 18:48:56
175	Твоё имя	8.31	8.4	2016	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/958722/	2019-12-17 18:48:56
176	Человек-слон	8.105	8.1	1980	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/464/	2019-12-17 18:48:56
177	Писатели свободы	8.022	7.5	2006	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/195226/	2019-12-17 18:48:56
178	Красота по-американски	7.969	8.3	1999	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/351/	2019-12-17 18:48:56
179	Мой сосед Тоторо	8.189	8.2	1988	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/8221/	2019-12-17 18:48:56
180	Исчезнувшая	7.94	8.1	2014	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/692861/	2019-12-17 18:48:56
181	Индиана Джонс и последний крестовый поход	8.065	8.2	1989	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/472/	2019-12-17 18:48:56
182	Военный ныряльщик	8.051	7.2	2000	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/751/	2019-12-17 18:48:56
183	Схватка	8.034	8.2	1995	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/571/	2019-12-17 18:48:56
184	Октябрьское небо	8.026	7.8	1999	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/2056/	2019-12-17 18:48:56
185	Принцесса Мононоке	8.152	8.4	1997	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/441/	2019-12-17 18:48:56
186	Звёздные войны: Эпизод 6 – Возвращение Джедая	8.15	8.3	1983	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/447/	2019-12-17 18:48:56
187	Ип Ман	8.261	8.0	2008	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/409507/	2019-12-17 18:48:56
188	Психо	8.086	8.5	1960	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/344/	2019-12-17 18:48:56
189	Знахарь	8.159	7.8	1981	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/80749/	2019-12-17 18:48:56
190	Звёздочки на земле	8.126	8.4	2007	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/280562/	2019-12-17 18:48:56
191	Новый кинотеатр «Парадизо»	7.959	8.5	1988	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/424/	2019-12-17 18:48:56
192	Легенда №17	7.972	7.5	2012	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/601564/	2019-12-17 18:48:56
193	Шрэк	7.985	7.8	2001	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/430/	2019-12-17 18:48:56
194	Иллюзионист	8.012	7.6	2005	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/102198/	2019-12-17 18:48:56
195	Последний самурай	8.064	7.7	2003	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/6764/	2019-12-17 18:48:56
